part_number,job,op,work_center,machine,setup_hr_est,setup_hr_act,run_hr_est,run_hr_act,run_min_pc_act,labor_rm_est,labor_rm_act,burden_hr,burden_rm,rate_rm_hr,qty,date,order_qty,order_date,close_date,unit_price_rm,ext_price_rm,cost_ea_est_rm,cost_ea_act_rm,profit_ea_rm,material_total_rm,labor_total_rm,burden_total_rm,subcon_total_rm,ga_total_rm,total_run_min_pc,notes
0022-09112,3335R16,995,INSPECTIPQ,,0.10,0.00,0.10,0.37,1.23,3.00,4.07,0.37,36.63,,18,,,,,,,,,,,,,,,,
0022-09112,3335R16,999,INSPECTASY,,0.00,0.00,0.90,0.18,0.60,13.50,0.00,0.18,17.82,,18,,,,,,,,,,,,,,,,
0022-09112,3335R16,AMAT PKG,PKG CLN10K,,0.10,0.00,0.60,1.32,4.40,14.00,11.42,1.32,183.48,,18,,,,,,,,,,,,,,,,
0022-26284,2965R23,05,PLANNING,,0.50,0.00,0.00,0.00,,17.50,0.00,0.50,0.00,,10,22-Aug-25,,,,,,,,,,,,,,,
0022-26284,2965R23,10,CNCV FAN V,,0.50,1.50,2.00,2.00,12.00,50.00,33.30,2.50,307.50,123,10,22-Aug-25,,,,,,,,,,,,,,,
0022-26284,2965R23,800,DEBUR,,0.10,0.00,0.50,1.27,7.62,7.20,10.38,0.60,43.20,72,10,22-Aug-25,,,,,,,,,,,,,,,
0022-26284,2965R23,995,INSPECTIPQ,,0.10,0.00,0.10,0.00,,3.00,0.00,0.20,0.00,,10,22-Aug-25,,,,,,,,,,,,,,,
0022-26284,2965R23,810,PART MARK,,0.00,0.00,0.83,1.15,6.90,9.96,11.06,0.83,59.76,72,10,22-Aug-25,,,,,,,,,,,,,,,
0022-26284,2965R23,999,INSPECTASY,,0.20,0.00,0.33,0.32,1.92,7.95,1.69,0.53,52.47,99,10,22-Aug-25,,,,,,,,,,,,,,,
0022-26284,2965R23,AMAT PKG,PKG CLN10K,,0.10,0.00,0.50,0.48,2.88,12.00,3.84,0.60,83.40,139,10,22-Aug-25,,,,,,,,,,,,,,,
0022-27201,5645R26,05,PLANNING,,1.00,0.00,0.00,0.00,,35.00,0.00,1.00,0.00,,102,23-Sep-24,,,,,,,,,,,,,,,
0022-27201,5645R26,10,CNCL TAK,,0.50,3.75,13.60,13.60,8.00,282.00,156.65,14.10,1593.30,113,102,23-Sep-24,,,,,,,,,,,,,,,
0022-27201,5645R26,20,CNCV MAK,Makino,0.10,0.50,1.70,2.60,1.00,36.00,39.83,1.80,221.40,123,156,23-Sep-24,,,,,,,,,,,,,,,
0022-27201,5645R26,800,DEBUR,,0.00,0.00,5.10,4.00,2.35,61.20,32.00,5.10,367.20,72,102,23-Sep-24,,,,,,,,,,,,,,,
0022-27201,5645R26,30,CNCV MAK,Makino,0.10,0.50,1.70,2.60,1.00,36.00,39.83,1.80,221.40,123,156,23-Sep-24,,,,,,,,,,,,,,,
0022-27201,5645R26,40,CNCV MAK,Makino,0.30,0.60,1.70,2.60,1.00,40.00,41.13,2.00,246.00,123,156,23-Sep-24,,,,,,,,,,,,,,,
0022-27201,5645R26,810,DEBUR,,0.10,0.00,8.50,5.00,2.94,103.20,40.00,8.60,619.20,72,102,23-Sep-24,,,,,,,,,,,,,,,
0022-27201,5645R26,999,INSPECT,,0.20,0.00,5.10,0.53,0.31,79.50,5.09,5.30,524.70,99,102,23-Sep-24,,,,,,,,,,,,,,,
0022-27201,5645R26,AMAT PKG,ASSY3,,0.10,0.00,2.55,2.10,1.24,53.00,16.80,2.65,368.35,139,102,23-Sep-24,,,,,,,,,,,,,,,
0022-42142,5453R09,05,PLANNING,,0.50,0.00,0.00,0.00,,17.50,0.00,0.50,0.00,,56,05-Jun-25,,,,,,,,,,,,,,,
0022-42142,5453R09,10,CNCL TAK,NEX-110Y,0.10,0.10,1.40,1.40,1.50,30.00,14.40,1.50,169.50,113,56,05-Jun-25,,,,,,,,,,,,,,,
0022-42142,5453R09,20,CNCL TAK,NEX-110Y,0.10,0.10,1.40,1.40,1.50,30.00,14.40,1.50,169.50,113,56,05-Jun-25,,,,,,,,,,,,,,,
0022-42142,5453R09,800,DEBUR,,0.10,0.00,2.80,2.00,2.14,34.80,16.00,2.90,208.80,72,56,05-Jun-25,,,,,,,,,,,,,,,
0022-42142,5453R09,999,INSPECT,,0.00,0.00,0.93,0.77,0.83,13.95,9.81,0.93,92.07,99,56,05-Jun-25,,,,,,,,,,,,,,,
0022-42142,5453R09,AMAT PKG,ASSY3,,0.10,0.00,0.93,0.82,0.88,20.60,6.56,1.03,143.17,139,56,05-Jun-25,,,,,,,,,,,,,,,
0022-42143,5454R13,05,PLANNING,,0.50,0.00,0.00,0.00,,17.50,0.00,0.50,0.00,,36,27-Jan-26,,,,,,,,,,,,,,,
0022-42143,5454R13,09,CNCR EXACT,Anderson 3X 16I VMC,0.10,0.50,0.60,0.60,1.00,14.00,8.73,0.70,126.70,181,36,27-Jan-26,,,,,,,,,,,,,,,
0022-42143,5454R13,10,CNCV FAN V,,0.30,1.00,3.66,3.66,6.10,79.20,40.31,3.96,487.08,123,36,27-Jan-26,,,,,,,,,,,,,,,
0022-42143,5454R13,810,DEBUR,,0.10,0.00,1.80,1.48,2.47,22.80,0.00,1.90,136.80,72,36,27-Jan-26,,,,,,,,,,,,,,,
0022-42143,5454R13,20,CNCV FAN M,FANUC Robodrill,0.10,0.50,3.42,3.42,5.70,70.40,47.04,3.52,432.96,123,36,27-Jan-26,,,,,,,,,,,,,,,
0022-42143,5454R13,820,DEBUR,,0.10,0.00,0.60,1.15,1.92,8.40,0.00,0.70,50.40,72,36,27-Jan-26,,,,,,,,,,,,,,,
0022-42143,5454R13,997,INSPECTLAB,,0.10,0.00,1.20,1.08,1.80,19.50,9.72,1.30,128.70,99,36,27-Jan-26,,,,,,,,,,,,,,,
0022-42143,5454R13,AMAT PKG,PKG CLN10K,,0.10,0.00,0.60,2.37,3.95,14.00,0.00,0.70,97.30,139,36,27-Jan-26,,,,,,,,,,,,,,,
0022-49255,8441R06,09,CNCR STRAT,,0.10,0.30,0.24,0.24,0.20,6.80,4.32,0.54,97.74,181,72,29-Nov-24,,,,,,,,,,,,,,,
0022-49255,8441R06,10,CNCV FAN V,,0.50,1.50,4.20,4.56,3.80,94.00,72.72,6.06,745.38,123,72,29-Nov-24,,,,,,,,,,,,,,,
0022-49255,8441R06,810,DEBUR,,0.10,0.00,2.40,2.40,2.00,30.00,19.20,2.40,172.80,72,72,29-Nov-24,,,,,,,,,,,,,,,
0022-49255,8441R06,20,CNCV FAN M,,0.50,0.50,6.00,6.00,5.00,130.00,58.18,6.50,799.50,123,72,29-Nov-24,,,,,,,,,,,,,,,
0022-49255,8441R06,30,CNCV FAN M,,0.30,0.50,3.60,3.60,3.00,78.00,36.69,4.10,504.30,123,72,29-Nov-24,,,,,,,,,,,,,,,
0022-49255,8441R06,999,INSPECT,,0.20,0.00,2.40,0.80,0.67,39.00,8.46,0.80,79.20,99,72,29-Nov-24,,,,,,,,,,,,,,,
0022-49255,8441R06,PKG,ASSY3,,0.10,0.00,2.40,0.90,0.75,50.00,7.49,0.90,125.10,139,72,29-Nov-24,,,,,,,,,,,,,,,
0022-63955,8803R10,10,LYNX21LYSB,Doosan Lynx 21 LYSB,3.00,3.50,11.00,11.00,22.00,280.00,144.42,14.50,2175.00,150,30,08-Feb-26,,,,,,,,,,,,,,,
0022-63955,8803R10,800,DEBUR,,0.10,0.00,2.50,2.37,4.74,31.20,18.96,2.37,170.64,72,30,08-Feb-26,,,,,,,,,,,,,,,
0022-63955,8803R10,997,INSPECTLAB,,0.20,0.00,2.00,0.80,1.60,33.00,0.00,0.80,79.20,99,30,08-Feb-26,,,,,,,,,,,,,,,
0022-63955,8803R10,PKG,PKG CLN10K,,0.10,0.00,1.00,2.52,5.04,22.00,0.00,2.52,350.28,139,30,08-Feb-26,,,,,,,,,,,,,,,
0022-75931,7675R09,10,CNCL TAK,,1.00,1.00,15.58,15.58,3.50,331.60,101.59,16.58,1873.54,113,267,25-Jun-25,,,,,,,,,,,,,,,
0022-75931,7675R09,800,DEBUR,,0.10,0.00,8.90,2.72,0.61,108.00,21.76,2.72,195.84,72,267,25-Jun-25,,,,,,,,,,,,,,,
0022-75931,7675R09,999,INSPECT,,0.10,0.00,8.90,0.17,0.04,135.00,1.63,0.17,16.83,99,267,25-Jun-25,,,,,,,,,,,,,,,
0022-75931,7675R09,PKG,ASSY3,,0.10,0.00,8.90,6.70,1.51,180.00,53.60,6.70,931.30,139,267,25-Jun-25,,,,,,,,,,,,,,,
0023-12637,14530R10,10,CNCL NAK,NAKAMURA-TOME SC-300,1.00,1.50,3.73,3.73,13.99,94.60,62.76,5.23,590.99,113,16,27-Jan-26,,,,,,,,,,,,,,,
0023-12637,14530R10,20,CNCTM TAK,TAKISAWA NEX-108Y,1.00,1.00,1.60,1.60,6.00,52.00,30.07,2.60,390.00,150,16,27-Jan-26,,,,,,,,,,,,,,,
0023-12637,14530R10,800,DEBUR,DEBUR,0.10,0.00,0.53,0.53,1.99,7.56,4.24,0.53,38.16,72,16,27-Jan-26,,,,,,,,,,,,,,,
0023-12637,14530R10,999,INSPECTASY,INSPECTASY,0.10,0.00,0.25,1.42,5.33,5.25,0.00,1.42,140.58,99,16,27-Jan-26,,,,,,,,,,,,,,,
0041-14421,3500R31,10,CNCR EXACT,CNCR EXACT (Router),0.30,0.30,1.50,1.50,5.00,36.00,25.20,1.80,325.80,181,18,03-Jul-25,,,,,,,,,,,,,,,
0041-14421,3500R31,20,CNCR EXACT,CNCR EXACT (Router),0.30,0.30,1.50,1.50,5.00,36.00,25.20,1.80,325.80,181,18,03-Jul-25,,,,,,,,,,,,,,,
0041-14421,3500R31,800,DEBUR,DEBUR,0.10,0.00,3.00,2.48,8.27,37.20,19.84,2.48,178.56,72,18,03-Jul-25,,,,,,,,,,,,,,,
0041-14421,3500R31,810,WELD,WELD,0.30,0.00,6.00,6.53,21.77,189.00,67.24,6.53,927.26,142,18,03-Jul-25,,,,,,,,,,,,,,,
0041-14421,3500R31,999,INSPECT,INSPECT,0.00,0.00,0.60,0.60,2.00,9.00,7.20,0.60,59.40,99,18,03-Jul-25,,,,,,,,,,,,,,,
0041-14421,3500R31,AMAT PKG,ASSY3,ASSY3,0.10,0.00,0.90,3.37,11.23,20.00,29.15,3.37,468.43,139,18,03-Jul-25,,,,,,,,,,,,,,,
0041-62474,2958R01,PLAN,PLANNING,,0.50,0.00,0.00,0.00,,17.50,0.00,0.50,57.50,115.00,20,28-Jun-17,,,,,,,,,,,,,,,
0041-62474,2958R01,10,CNCR BARNY,,0.30,0.00,1.33,0.00,4.0,32.60,0.00,1.63,373.27,229.00,20,28-Jun-17,,,,,,,,,,,,,,,
0041-62474,2958R01,20,CNCR BARNY,,0.30,0.00,10.00,0.00,30.0,206.00,0.00,10.30,2358.70,229.00,20,28-Jun-17,,,,,,,,,,,,,,,
0041-62474,2958R01,30,CNCV MAK,,1.00,0.00,1.67,0.00,5.0,53.40,0.00,2.67,293.70,110.00,20,28-Jun-17,,,,,,,,,,,,,,,
0041-62474,2958R01,40,CNCL TAK,,0.50,0.00,1.67,0.00,5.0,43.40,0.00,2.17,316.82,146.00,20,28-Jun-17,,,,,,,,,,,,,,,
0041-62474,2958R01,50,CNCL TAK,,0.50,0.00,2.00,0.00,6.0,50.00,0.00,2.50,365.00,146.00,20,28-Jun-17,,,,,,,,,,,,,,,
0041-62474,2958R01,60,FAB,,0.20,0.00,8.33,0.00,25.0,102.36,0.00,8.53,784.76,92.00,20,28-Jun-17,,,,,,,,,,,,,,,
0041-62474,2958R01,INSP,INSPECT,,0.30,0.00,3.33,0.00,,54.45,0.00,3.63,446.49,123.00,20,28-Jun-17,,,,,,,,,,,,,,,
0041-62474,2958R01,PKG,PKG,,0.30,0.00,1.67,0.00,,23.64,0.00,1.97,124.11,63.00,20,28-Jun-17,,,,,,,,,,,,,,,
0041-62474,2958R01,SHIP,SHIPPING,,0.10,0.00,0.67,0.00,,9.24,0.00,0.77,48.51,63.00,20,28-Jun-17,,,,,,,,,,,,,,,
0041-62474,2958R01,ASSY1,ASSY2,,0.20,0.00,36.67,0.00,110.0,442.44,0.00,36.87,5419.89,147.00,20,28-Jun-17,,,,,,,,,,,,,,,
0041-62474,2958R01,ASSY2,ASSY2,,0.10,0.00,3.33,0.00,10.0,41.16,0.00,3.43,504.21,147.00,20,28-Jun-17,,,,,,,,,,,,,,,
0042-15176,4189R01,800,SAW,,0.10,0.00,0.67,3.80,38.0,9.24,38.38,3.80,273.60,72.00,6,25-Mar-19,,,,,,,,,,,,,,,
0042-15176,4189R01,10,CNCV FAN V,Fanuc Vaccum,0.50,0.00,5.33,7.48,74.8,116.60,75.55,7.48,920.04,123.00,6,25-Mar-19,,,,,,,,,,,,,,,
0042-15176,4189R01,20,CNCV FAN V,Fanuc Vaccum,0.50,0.00,6.00,10.60,106.0,130.00,107.06,10.60,1303.80,123.00,6,25-Mar-19,,,,,,,,,,,,,,,
0042-15176,4189R01,30,CNCV FAN V,Fanuc Vaccum,0.50,0.00,10.67,0.00,,223.40,0.00,11.17,1373.91,123.00,6,25-Mar-19,,,,,,,,,,,,,,,
0042-15176,4189R01,810,DEBUR,,0.10,0.00,2.00,2.03,20.3,25.20,10.35,2.10,151.20,72.00,6,25-Mar-19,,,,,,,,,,,,,,,
0042-15176,4189R01,40,CNCL NAK,,0.50,0.00,0.40,1.07,10.7,18.00,9.31,1.07,120.91,113.00,6,25-Mar-19,,,,,,,,,,,,,,,
0042-15176,4189R01,820,ASSY1,,0.10,0.00,0.40,0.77,7.7,6.00,8.86,0.77,55.44,72.00,6,25-Mar-19,,,,,,,,,,,,,,,
0042-15176,4189R01,830,PART MARK,,0.10,0.00,0.27,0.53,5.3,4.44,4.24,0.53,38.16,72.00,6,25-Mar-19,,,,,,,,,,,,,,,
0042-15176,4189R01,999,INSPECT,,0.00,0.00,1.60,0.50,5.0,24.00,4.00,1.60,158.40,99.00,6,25-Mar-19,,,,,,,,,,,,,,,
0042-15176,4189R01,PKG,PKG AMAT,,0.10,0.00,0.27,0.00,,4.44,0.00,0.37,23.31,63.00,6,25-Mar-19,,,,,,,,,,,,,,,
0200-02605,4957R26,05,PLANNING,,0.50,0.00,0.00,0.00,,17.50,0.00,0.50,57.50,115.00,42,15-Dec-25,,,,,,,,,,,,,,,
0200-02605,4957R26,10,CNCTM TAK,NEX-108Y,3.50,4.50,9.10,9.10,13.0,252.00,168.59,13.60,2448.00,180.00,42,15-Dec-25,,,,,,,,,,,,,,,
0200-02605,4957R26,20,CNCTM TAK,NEX-108Y,2.00,2.00,2.80,2.80,4.0,96.00,111.07,4.80,864.00,180.00,42,15-Dec-25,,,,,,,,,,,,,,,
0200-02605,4957R26,800,DEBUR,,0.10,0.00,2.10,1.55,2.2,26.40,15.50,2.20,158.40,72.00,42,15-Dec-25,,,,,,,,,,,,,,,
0200-02605,4957R26,995,INSPECTIPQ,,0.10,0.00,0.10,1.73,2.5,3.00,15.57,1.73,171.27,99.00,42,15-Dec-25,,,,,,,,,,,,,,,
0200-02605,4957R26,PQR,INSPECT,,0.00,0.00,3.50,1.05,1.5,52.50,9.45,3.50,346.50,99.00,42,15-Dec-25,,,,,,,,,,,,,,,
0200-02605,4957R26,MARK,PART MARK,,0.10,0.00,1.40,3.87,5.5,18.00,37.23,3.87,278.64,72.00,42,15-Dec-25,,,,,,,,,,,,,,,
0200-02605,4957R26,999,INSPECTASY,,0.10,0.00,2.10,0.25,0.4,33.00,0.00,2.20,217.80,99.00,42,15-Dec-25,,,,,,,,,,,,,,,
0200-02605,4957R26,PKG,PKG CLN10K,,0.10,0.00,0.70,1.67,2.4,16.00,0.00,1.67,232.13,139.00,42,15-Dec-25,,,,,,,,,,,,,,,
1157-776-01,3263R16,800,SAW,,0.10,0.00,3.33,3.33,8.00,41.16,33.27,3.33,239.76,72,25,30-Jun-25,,,,,,,,,,,,,,,
1157-776-01,3263R16,10,CNCL NAK,,1.00,1.00,2.50,2.50,6.00,70.00,34.38,3.50,395.50,113,25,30-Jun-25,,,,,,,,,,,,,,,
1157-776-01,3263R16,20,CNCL NAK,,0.50,1.00,6.25,6.25,15.00,135.00,54.00,7.25,819.25,113,25,30-Jun-25,,,,,,,,,,,,,,,
1157-776-01,3263R16,30,CNCL NAK,,1.00,1.00,4.58,4.60,11.00,111.60,0.00,5.60,632.80,113,25,30-Jun-25,,,,,,,,,,,,,,,
1157-776-01,3263R16,40,CNCV MAK,,0.50,0.50,12.50,12.50,30.00,260.00,157.27,13.00,1599.00,123,25,30-Jun-25,,,,,,,,,,,,,,,
1157-776-01,3263R16,810,DEBUR,,0.10,0.00,4.58,2.97,7.10,56.16,23.76,2.97,213.84,72,25,30-Jun-25,,,,,,,,,,,,,,,
1157-776-01,3263R16,50,CNCV MAK,,0.30,3.30,0.83,0.83,2.00,22.60,44.00,4.13,507.99,123,25,30-Jun-25,,,,,,,,,,,,,,,
1157-776-01,3263R16,60,CNCV MAK,,0.50,0.50,1.67,1.67,4.00,43.40,32.55,2.17,266.91,123,25,30-Jun-25,,,,,,,,,,,,,,,
1157-776-01,3263R16,820,DEBUR,,0.00,0.00,2.08,1.90,4.60,24.96,15.20,1.90,136.80,72,25,30-Jun-25,,,,,,,,,,,,,,,
1157-776-01,3263R16,997,INSPECT,,0.10,0.00,0.00,1.32,3.20,1.50,14.52,1.32,130.68,99,25,30-Jun-25,,,,,,,,,,,,,,,
1157-776-01,3263R16,830,ASSY2,,0.10,0.00,0.83,2.00,4.80,13.95,14.60,2.00,234.00,117,25,30-Jun-25,,,,,,,,,,,,,,,
1157-776-01,3263R16,999,INSPECT,,0.30,0.00,0.42,0.80,1.90,10.80,6.92,0.80,79.20,99,25,30-Jun-25,,,,,,,,,,,,,,,
1157-776-01,3263R16,PKG,ASSY3,,0.10,0.00,0.42,2.39,5.70,10.40,21.82,2.39,332.21,139,34,30-Jun-25,,,,,,,,,,,,,,,
1241-714-01,9570R05,010,LYNX 26Y,DOOSAN LYNX 26Y,1.50,2.80,6.00,6.00,18.00,150.00,96.48,8.80,1584.00,180,20,13-Oct-25,,,,,,,,,,,,,,,
1241-714-01,9570R05,020,CNCV MAK,CNCV MAK PS95,0.20,0.86,2.67,2.67,8.01,57.40,32.23,3.53,434.19,123,20,13-Oct-25,,,,,,,,,,,,,,,
1241-714-01,9570R05,800,DEBUR,DEBUR,0.10,0.00,1.00,5.80,17.40,13.20,46.40,5.80,417.60,72,20,13-Oct-25,,,,,,,,,,,,,,,
1241-714-01,9570R05,810,DEBUR,DEBUR,0.10,0.00,0.67,1.30,3.90,9.24,10.31,1.30,93.60,72,20,13-Oct-25,,,,,,,,,,,,,,,
1241-714-01,9570R05,999,INSPECTASY,INSPECTASY,0.10,0.00,1.00,0.12,0.36,16.50,1.32,0.87,86.13,99,20,13-Oct-25,,,,,,,,,,,,,,,
1241-714-01,9570R05,ASM PKG,PKG CLN10K,PKG CLN10K,0.10,0.00,0.67,0.85,2.55,15.40,7.35,0.85,118.15,139,20,13-Oct-25,,,,,,,,,,,,,,,
15-137820-00,11090R13,10,CNCR EXACT,EXXACT PLUS,0.33,0.33,17.73,17.73,13.30,361.20,137.50,18.06,3268.86,181,80,24-Dec-25,,,,,,,,,,,,,,,
15-137820-00,11090R13,20,CNCR EXACT,EXXACT 1616,0.33,0.50,13.33,13.33,10.00,273.20,158.79,13.83,2503.23,181,80,24-Dec-25,,,,,,,,,,,,,,,
15-137820-00,11090R13,800,DEBUR,DEBUR,0.10,0.00,4.00,4.19,3.14,49.20,34.23,4.19,301.68,72,80,24-Dec-25,,,,,,,,,,,,,,,
15-137820-00,11090R13,991,INSPECTIQC,INSPECTIQC,0.10,0.00,0.30,1.47,1.10,6.00,14.14,1.47,145.53,99,80,24-Dec-25,,,,,,,,,,,,,,,
15-137820-00,11090R13,995,INSPECTIPQ,INSPECTIPQ,0.10,0.00,0.25,0.27,0.20,5.25,3.44,0.27,26.73,99,80,24-Dec-25,,,,,,,,,,,,,,,
15-137820-00,11090R13,LAM PACK,PKG CLN10K,PKG CLN10K,0.10,0.00,4.00,9.99,7.49,82.00,31.14,9.99,1388.61,139,80,24-Dec-25,,,,,,,,,,,,,,,
15-395585-00,11111R09,10,CNCL TAK,TAKISAWA 108,1.00,1.50,2.65,2.65,3.00,73.00,48.90,4.15,468.95,113,53,08-Feb-26,,,,,,,,,,,,,,,
15-395585-00,11111R09,800,DEBUR,DEBUR,0.10,0.00,0.44,2.02,2.28,6.48,16.16,2.02,145.44,72,53,08-Feb-26,,,,,,,,,,,,,,,
15-395585-00,11111R09,997,INSPECTLAB,INSPECTLAB,0.20,0.00,0.20,1.33,1.51,6.00,9.59,1.33,131.67,99,53,08-Feb-26,,,,,,,,,,,,,,,
15-395585-00,11111R09,LAM PACK,PKG CLN10K,PKG CLN10K,0.10,0.00,0.88,0.87,0.98,19.60,8.37,0.87,120.93,139,53,08-Feb-26,,,,,,,,,,,,,,,
16-408773-00,10904R14-3,09,CNCV FAN V,CNCV FAN V,0.50,0.50,1.35,1.84,4.09,37.00,23.35,2.34,287.82,123,27,12-Jan-26,,,,,,,,,,,,,,,
16-408773-00,10904R14-3,10,CNCV FAN V,CNCV FAN V,0.50,0.50,39.15,39.15,87.00,793.00,391.48,39.65,4876.95,123,27,12-Jan-26,,,,,,,,,,,,,,,
